date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:44:30	129/129	---M-Z	200	added ('OK')	text/plain	date:Tue,%2028%20Mar%202023%2004:44:21%20GMT	https://www.internationalshipcare.com/robots.txt		(from )
12:44:33	277906/-1	---M--	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2004:44:21%20GMT	https://www.internationalshipcare.com/	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/index.html	(from )
12:44:33	217/217	---M-Z	200	added ('OK')	text/css	date:Wed,%2002%20Nov%202022%2002:22:16%20GMT	https://www.internationalshipcare.com/wp-includes/css/classic-themes.min.css?ver=1	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-includes/css/classic-themes.min68b3.css	(from https://www.internationalshipcare.com/)
12:44:34	2731/2731	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Sep%202022%2009:55:42%20GMT	https://www.internationalshipcare.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.6.3	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-content/plugins/contact-form-7/includes/css/styles42f0.css	(from https://www.internationalshipcare.com/)
12:44:34	40848/40848	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Sep%202022%2010:44:20%20GMT	https://www.internationalshipcare.com/wp-content/plugins/wpforms-lite/assets/css/wpforms-full.min.css?ver=1.7.6	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-content/plugins/wpforms-lite/assets/css/wpforms-full.min41a5.css	(from https://www.internationalshipcare.com/)
12:44:34	57778/57778	---M-Z	200	added ('OK')	text/css	date:Wed,%2028%20Sep%202022%2002:45:31%20GMT	https://www.internationalshipcare.com/wp-content/plugins/ht-mega-for-elementor/assets/css/htbbootstrap.css?ver=1.9.6	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-content/plugins/ht-mega-for-elementor/assets/css/htbbootstrap055b.css	(from https://www.internationalshipcare.com/)
12:44:34	1135/1135	---M-Z	200	added ('OK')	application/rss+xml	etag:%227230d861384a02c2a66ac269f18ce65b-gzip%22	https://www.internationalshipcare.com/feed/	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/feed/index.html	(from https://www.internationalshipcare.com/)
12:44:34	30999/30999	---M-Z	200	added ('OK')	text/css	date:Thu,%2028%20Jul%202022%2014:13:36%20GMT	https://www.internationalshipcare.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min1849.css	(from https://www.internationalshipcare.com/)
12:44:34	767/767	---M-Z	200	added ('OK')	application/rss+xml	etag:%227230d861384a02c2a66ac269f18ce65b-gzip%22	https://www.internationalshipcare.com/comments/feed/	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/comments/feed/index.html	(from https://www.internationalshipcare.com/)
12:44:34	71292/71292	---M-Z	200	added ('OK')	text/css	date:Wed,%2028%20Sep%202022%2002:45:31%20GMT	https://www.internationalshipcare.com/wp-content/plugins/ht-mega-for-elementor/assets/css/animation.css?ver=1.9.6	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-content/plugins/ht-mega-for-elementor/assets/css/animation055b.css	(from https://www.internationalshipcare.com/)
12:44:35	4730/4730	---M-Z	200	added ('OK')	text/css	date:Wed,%2028%20Sep%202022%2002:45:31%20GMT	https://www.internationalshipcare.com/wp-content/plugins/ht-mega-for-elementor/assets/css/htmega-keyframes.css?ver=1.9.6	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-content/plugins/ht-mega-for-elementor/assets/css/htmega-keyframes055b.css	(from https://www.internationalshipcare.com/)
12:44:35	227795/227795	---M-Z	200	added ('OK')	text/css	date:Thu,%2028%20Jul%202022%2014:10:01%20GMT	https://www.internationalshipcare.com/wp-content/themes/transx/css/bootstrap.css?ver=6.1.1	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-content/themes/transx/css/bootstrap6a4d.css	(from https://www.internationalshipcare.com/)
12:44:35	31398/31398	---M-Z	200	added ('OK')	text/css	date:Thu,%2028%20Jul%202022%2014:10:01%20GMT	https://www.internationalshipcare.com/wp-content/themes/transx/css/font-awesome.min.css?ver=6.1.1	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-content/themes/transx/css/font-awesome.min6a4d.css	(from https://www.internationalshipcare.com/)
12:44:38	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Mar%202023%2004:44:39%20GMT	http://shipcare.cabletie.com.my/wp-content/uploads/2022/07/page_bg_1-1.jpg	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/shipcare.cabletie.com.my/wp-content/uploads/2022/07/page_bg_1-1.a.delayed	(from https://www.internationalshipcare.com/)
12:44:38	216795/216795	---M-Z	200	added ('OK')	text/css	date:Thu,%2028%20Jul%202022%2014:10:01%20GMT	https://www.internationalshipcare.com/wp-content/themes/transx/css/theme.css?ver=6.1.1	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-content/themes/transx/css/theme6a4d.css	(from https://www.internationalshipcare.com/)
12:44:38	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Mar%202023%2004:44:39%20GMT	http://shipcare.cabletie.com.my/wp-content/uploads/2022/07/404-1.jpg	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/shipcare.cabletie.com.my/wp-content/uploads/2022/07/404-1.jpg	(from https://www.internationalshipcare.com/)
12:44:39	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Mar%202023%2004:44:40%20GMT	http://shipcare.cabletie.com.my/wp-content/uploads/2022/07/page_bg_3-1.jpg	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/shipcare.cabletie.com.my/wp-content/uploads/2022/07/page_bg_3-1.jpg	(from https://www.internationalshipcare.com/)
12:44:39	26023/26023	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Aug%202022%2007:51:10%20GMT	https://www.internationalshipcare.com/wp-content/uploads/2022/08/logo-shipcare.png	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-content/uploads/2022/08/logo-shipcare.png	(from https://www.internationalshipcare.com/)
12:44:39	6315/6315	---M-Z	200	added ('OK')	text/css	date:Thu,%2028%20Jul%202022%2014:10:01%20GMT	https://www.internationalshipcare.com/wp-content/themes/transx/css/owl.carousel.css?ver=6.1.1	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-content/themes/transx/css/owl.carousel6a4d.css	(from https://www.internationalshipcare.com/)
